Administrative,Informational,ProductRelated,ExitRates,Revenue,TrafficType_2,TrafficType_3,TrafficType_4,TrafficType_5,TrafficType_6,TrafficType_8,TrafficType_10,TrafficType_11,TrafficType_13,TrafficType_20,TrafficType_Other,Month_Dec,Month_Mar,Month_May,Month_Nov,VisitorType_New_Visitor,is_special_day,Administrative_Duration_log,PageValues_log,Visited_Informational,ProductRelated_Duration_sqrt,has_bounce,high_exit_rate
0,6,423,0.02159902,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.0,0.22531857623167056,1,130.714323010143,1,0
5,3,339,0.020193811,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.7013019741124933,0.0,1,127.03657268676608,1,0
8,8,157,0.027247449,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,5.696623577457721,1.1157584750610798,1,126.85940804686108,1,0
11,2,189,0.019882747,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.951423497570798,0.0,1,124.31588221140531,1,0
7,1,391,0.010140622,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.42803515592123,0.8203992999355333,1,122.5774572260332,1,0
5,10,281,0.029697173,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,4.688285093005346,0.0,1,122.42790331456305,1,0
5,2,216,0.013368848,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,3.708682081410116,0.6357754307890345,1,120.73559947256649,1,0
5,1,401,0.020148947,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.754198920234579,1.5143171345920916,1,120.69864129309825,1,0
5,2,385,0.013519938,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.241326752570746,0.0,1,120.439724551329,1,0
1,0,324,0.010072239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.449987545831587,1.7021236946084723,0,119.22095671483265,1,0
6,4,261,0.026011023,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.823045895483019,0.6688205463288235,1,118.95606806716503,1,0
5,0,470,0.00362107,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.42080892900609,2.66594225092863,0,118.86917514646092,0,0
2,1,202,0.050155633,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3.7887247890836524,0.0,1,117.65397711084823,1,0
15,2,318,0.015642808,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.3519032325522495,3.8320082269145868,1,117.12131338915219,1,0
4,2,256,0.003240964,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.996364153861897,0.0,1,115.98815038614936,0,0
9,4,75,0.032017551,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,6.659749792552681,2.8427753251957277,1,115.89208799568675,1,0
8,6,312,0.014969192,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,4.84127696955877,2.2034091906832787,1,115.66921189322593,1,0
11,5,338,0.018855633,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.315299542657575,0.7486529265519559,1,115.17532700192346,1,0
3,1,362,0.008837606,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,5.602118820879701,0.0,1,115.14900763792974,1,0
1,0,117,0.041810345,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,4.532599493153256,0.0,0,114.71123166455847,1,0
10,7,287,0.006998399,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,0,5.7593449012339,0.7362824482794157,1,113.94642473548699,1,0
18,8,359,0.008975428,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,7.006994418487798,2.107916599479546,1,113.84162309981355,1,0
7,2,226,0.017955889,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.155456878634996,3.8220201316067417,1,113.58154603631701,1,0
0,0,175,0.022134495,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.0,1.6062549915113808,0,112.4038295166139,1,0
12,3,336,0.01331553,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0,5.988251056122082,0.7788614432854837,1,112.23024440853722,1,0
3,0,346,0.006473478,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,4.448516375942715,1.82085001314828,0,111.99007223856944,1,0
4,1,311,0.014687275,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.4965075614664802,0.0,1,111.80497779616076,1,0
8,0,374,0.010782459,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.705661724792812,2.004279604145837,0,111.80061319152055,1,0
2,3,227,0.014819782,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.9512437185814275,0.0,1,111.62737146417092,1,0
1,0,98,0.031102504,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,5.173207555505193,0.0,0,111.57911991049221,1,0
2,4,401,0.022322606,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,2.302585092994046,0.0,1,111.50434363736689,1,0
10,1,271,0.02001083,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.284471959725984,0.03732906164666201,1,110.8713840898543,1,0
4,0,293,0.01542982,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.548599834499697,1.1520929308818921,0,110.76210890913913,1,0
14,6,336,0.012143626,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.436985402129614,0.06489740610565635,1,110.3027390412405,0,0
7,3,309,0.025532176,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.373958460060375,0.0,1,110.26421173708177,1,0
5,2,291,0.008659512,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,4.219017388961343,2.30388538434871,1,109.84161938900938,1,0
4,3,378,0.023352993,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.367295829986474,0.0,1,109.55965306626341,1,0
8,0,518,0.003837261,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.091714826542712,0.0,0,109.43820790747627,1,0
4,0,326,0.017527555,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.394449154672439,0.0,0,109.29606369856144,1,0
11,4,397,0.009804129,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.700717858513557,2.3244682035049453,1,109.27038253799608,1,0
7,4,337,0.015719446,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.612823547944671,0.0,1,108.78926367063985,1,0
0,2,377,0.04524582,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0.0,1,108.30239166334232,1,0
13,9,179,0.028728531,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.587426990812686,0.0,1,107.20171817652924,1,0
7,1,221,0.021904109,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.019642228936193,0.9487475266042847,1,106.91586056334205,1,0
12,1,220,0.012414872,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1,5.320428252274591,0.5146946809020437,0,106.33954085851603,1,0
14,6,258,0.00742538,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,6.034027881655275,3.544194424582387,1,106.3071218686688,0,0
4,1,82,0.019401736,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.268297869345539,0.0,1,106.09952073407307,1,0
11,6,304,0.018717242,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.380950123607496,0.8640318135270786,1,106.06831157324982,1,0
0,0,231,0.010029112,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.0,0.0,0,106.0477901231327,1,0
3,3,290,0.024237631,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,3.58351893845611,0.0,1,106.02347235400282,1,0
1,1,315,0.019252583,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.3843902633457743,0.0,0,105.98422953439818,1,0
1,0,337,0.013233522,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,2.8183982582710754,0.0,0,105.97834741115753,1,0
0,4,330,0.022913324,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.0,0.0,1,105.86951903168352,1,0
8,7,340,0.015734957,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.998394007673902,0.0,1,104.41483735561724,1,0
6,6,175,0.018243793,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.474404967333023,2.8702253998980223,1,104.34019800632927,1,0
10,2,220,0.022140924,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.581332378213926,0.0,1,102.86080298150506,1,0
8,1,172,0.01576463,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.841722308377699,1.3671527905975274,1,102.58830030758868,1,0
7,0,264,0.012825542,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.890953365511593,2.2857959433636843,0,102.45562175888642,1,0
6,5,179,0.020876741,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.231057686145875,2.9488298965425885,1,102.0577465947588,1,0
18,3,247,0.029681426,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.55513744422163,0.0,1,102.05550284036623,1,0
7,9,238,0.016345046,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,6.583697331826845,1.5793195159388933,1,101.68760573442567,1,0
13,2,133,0.017657266,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,6.0615087175864435,3.1770147853108974,1,101.67925929116518,1,0
15,0,110,0.02480939,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,6.040682061378922,2.734566028674371,0,101.38493088225685,1,0
4,0,235,0.022527689,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.295836866004329,0.0,0,100.23376531887844,1,0
1,3,195,0.023180221,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,2.4423470353692043,0.0,1,100.2235379539158,1,0
15,1,202,0.021947073,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.492461126149198,0.9581332830812318,1,100.07132131634917,1,0
12,0,206,0.010741385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,5.806038175360548,3.2967168723888083,0,99.98864221000304,1,0
15,3,238,0.016955684,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.762110938868313,2.0223733723853727,1,99.7808876138111,1,0
3,1,286,0.015495489,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.663439094112067,0.0,0,99.76146458928919,1,0
11,0,440,0.01009842,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,4.4216661120562595,0.9393747882118038,0,99.75905542355541,1,0
4,0,182,0.021183788,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.8050739271169784,2.2685401777319516,0,99.75650176304299,1,0
0,0,94,0.028191489,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.0,0.0,0,99.17695464673231,1,0
5,4,266,0.024720163,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.268812152435704,0.21925833603030995,1,98.84741824144928,1,0
13,0,358,0.004094211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.754509537381524,0.0,0,98.79620685026323,1,0
8,3,328,0.010905045,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,5.96255053694334,2.0106046887356444,1,98.45943689662256,1,0
26,9,183,0.014200442,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,7.354181614797167,3.023710404376898,1,98.36713465380599,1,0
1,3,166,0.012980504,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,2.220755074715406,3.412721007900198,1,98.32018025308945,1,0
19,1,429,0.012547206,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.837195804853296,1.495010692823176,1,98.29336581377198,1,0
5,6,230,0.015486639,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.709530201312334,1.4723426115978806,1,98.22513473648179,1,0
0,4,222,0.066158871,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0.0,1,98.13363095290013,1,0
11,5,225,0.012050716,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,7.275241569132519,2.326524840008335,1,97.95738680160879,1,0
10,5,131,0.011632486,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,6.4328635319306615,0.5659251329489774,1,97.40605953430207,1,0
19,2,187,0.014896228,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,6.559430978025591,1.3542758666716708,1,97.40451304739426,1,0
5,0,279,0.018561894,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.598648968997826,0.5018545925263884,0,97.39288766639994,1,0
1,1,130,0.025758194,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3.374168709274236,0.0,1,97.19865489810032,1,0
6,2,237,0.030380952,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.488524417615982,0.8976505317776162,1,97.1481809814265,1,0
6,0,171,0.028256171,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,4.768116655477618,0.0,0,96.98369306744304,1,0
1,0,283,0.023041703,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.044522437723423,0.0,0,96.71858203571846,1,0
4,4,251,0.027881156,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.552964270229603,0.0,1,96.4239362865881,1,0
10,6,280,0.016184197,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.9863526335130555,2.195382730844537,1,96.16331872912872,1,0
7,3,231,0.021838687,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.093193476456485,0.0,1,96.07752514506188,1,0
5,2,246,0.024959839,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,4.5217885770490405,0.0,1,96.05920793448175,1,0
10,5,213,0.013391698,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,6.309918278226516,1.2721408260378273,1,95.66344255775034,1,0
6,2,204,0.015384615,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1,4.207177092768256,0.0,1,95.62131411981326,1,0
6,2,275,0.018539498,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.500503873759741,0.0,1,95.60071493456522,1,0
7,0,54,0.039251601,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,5.358941988364472,0.0,0,95.54205295575346,1,0
5,0,107,0.017992979,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.747103681876758,0.0,0,95.53524202094219,1,0
4,7,171,0.021627971,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0,4.6282354585933545,0.5226940507277945,1,95.49809114846222,1,0
23,3,409,0.015934735,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,5.483736348032162,1.9848126717562167,1,95.39603219736132,1,0
11,5,230,0.01755845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,4.7165922933227,1.2988269631685057,1,95.13390290532602,1,0
10,4,222,0.018457454,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.364861505869433,2.456967447411245,1,95.12903880519345,1,0
9,2,151,0.02459296,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.165975741868853,0.0,1,94.96380226696907,1,0
4,5,74,0.043301833,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0,5.908082938168931,0.0,1,94.77119883171258,1,0
7,3,140,0.012980564,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,5.4431389512309725,0.0,1,94.6647118571646,1,0
7,0,237,0.012109705,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.2574953720277815,0.0,0,94.63666045460396,1,0
5,2,229,0.024304152,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.524655808758766,0.0,1,94.16032808991268,1,0
0,1,357,0.007310889,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.0,2.3946405097079473,1,94.14901402032842,1,0
6,2,136,0.016360941,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,4.962261710045277,3.1082827900947723,1,93.68892079109462,1,0
12,2,243,0.028099523,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,6.225059953590024,1.0393825820050064,1,93.6401475223101,1,0
10,9,105,0.050212934,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,6.243299673080091,1.2751015749554278,1,93.29722613775824,1,0
5,3,167,0.012477354,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.812997033190408,0.0,1,93.28371571180041,1,0
24,1,113,0.047477294,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,5.283906993064778,1.2846638032901785,1,93.27061201150124,1,0
5,0,111,0.019613095,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,4.672828834461906,1.546740051015915,0,93.19325798039256,1,0
12,9,351,0.027372411,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.1815804701221415,1.0934509210301846,1,93.00563838284215,1,0
1,3,65,0.011764706,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,3.2188758248682006,0.0,1,92.98386956886662,0,0
8,1,148,0.019155126,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.716594773520978,0.9585898787075477,1,92.89662906155422,1,0
5,2,250,0.02250017,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.68213122712422,0.0,1,92.85677142782856,1,0
4,0,188,0.019765654,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.941486177301741,0.0,0,92.8333553847969,1,0
1,2,156,0.015117319,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.044522437723423,0.0,1,92.80763606514283,1,0
2,0,162,0.012349829,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,3.2818506240295893,0.904093953858959,0,92.71822894663164,1,0
5,3,213,0.01587654,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,4.458215772992818,2.199983626324336,1,92.69083957975568,1,0
2,1,264,0.023315309,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.553876891600541,0.0,1,92.65001375607021,1,0
2,0,260,0.017330846,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.9219733362813143,0.0,0,92.49738366570159,1,0
9,1,310,0.012414294,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.380956700068839,0.6286342228289608,1,92.02358001077766,1,0
13,0,255,0.025016422,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.548748906475474,0.5219648311896169,0,92.01947825868173,1,0
11,0,206,0.006257147,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.975081067857458,0.0,0,91.85368358427439,0,0
4,2,186,0.015721509,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.927253685157205,0.0,1,91.79254041042769,1,0
0,1,108,0.019558305,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0.0,0.0,1,91.66632961998641,1,0
8,1,115,0.029541047,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1,4.074708587648584,0.0,1,91.58775072573843,1,0
2,2,84,0.037209302,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3.5890591188317256,0.0,1,91.4636661303274,1,0
1,1,200,0.017597513,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,2.6968769002793658,1.553992495377046,0,91.30191445418875,1,0
17,3,292,0.005669849,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.8513677651177955,2.702590240608894,1,91.00667287622375,1,0
11,0,169,0.016051967,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,5.526448459373285,2.2164528216232684,0,90.97413129566009,1,0
9,3,167,0.021347061,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,5.354815840453299,1.36299485959952,1,90.8245934260099,1,0
13,5,202,0.013668745,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,5.808092438577743,1.5372384089795323,1,90.6514134087274,1,0
3,5,218,0.039663918,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3.9889840465642745,0.7796627142229217,1,90.58525233171237,1,0
6,2,148,0.021205728,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.296649309614285,1.973287352396406,1,90.43354976445413,1,0
4,8,146,0.01127957,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.265646584406089,1.0448294477542033,1,90.28043373843526,1,0
13,1,149,0.050691712,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.952653011557909,0.0,1,90.2613514467848,1,0
4,6,104,0.01763475,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.23566604599609,1.9326042944941308,1,90.17186320576945,1,0
10,0,213,0.017631698,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,5.504145195516896,0.0,0,90.14350940583576,1,0
10,0,210,0.030193184,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.702387371952818,0.0,0,90.08798949915577,1,0
0,0,222,0.02329814,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.0,1.7560843845651875,0,89.82617744288132,1,0
0,1,143,0.020798504,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.0,0.0,1,89.78287112807209,1,0
16,1,113,0.026808161,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,5.202173506178621,0.0,1,89.67490657926552,1,0
9,4,154,0.027963219,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,5.805636851085091,0.0,1,89.65670807028329,1,0
14,0,90,0.032048254,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,6.0335657231266175,2.4265100002387694,0,89.5796248987458,1,0
8,1,198,0.01852759,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,4.994505912166372,0.0,1,89.48013860628514,1,0
14,3,195,0.005865824,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.90876205534274,1.5828132652663138,1,89.3328799435012,1,0
11,1,200,0.014230973,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.479703656950031,3.1282594668265773,1,89.28786273060858,1,0
4,0,112,0.036793698,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,4.782935926626703,0.0,0,89.26871434606863,1,0
5,1,199,0.058447712,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,4.653007515402251,0.0,1,89.21832504592317,1,0
2,7,233,0.019045831,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.123467824791295,2.294643721912184,1,89.17674494508084,1,0
4,12,154,0.014926307,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,4.572130331909891,0.0,1,88.53562332756233,1,0
12,1,154,0.022587818,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.94672865326659,0.0,1,88.52047576126103,1,0
10,1,245,0.004610177,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,4.973856042362412,4.101396128386877,1,88.27886884753339,1,0
1,3,176,0.019212627,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.739792912179234,2.287033748643043,1,88.1324319419361,1,0
10,9,216,0.022135148,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,5.7671985711108,0.9513990858575843,1,88.0967358021851,1,0
9,0,199,0.021772308,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,5.244725800524755,1.3893351886141656,0,88.0371357950723,1,0
1,1,98,0.012431818,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,3.6109179126442243,2.794220912609389,1,87.82012867218995,0,0
7,1,310,0.00751105,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,4.307213285550309,0.0940561238046966,0,87.81077050111791,1,0
18,0,184,0.013793271,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,5.547973012532202,2.046194332513324,0,87.78693769006867,1,0
3,3,151,0.012782022,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,5.382198850528739,1.6243109581071813,1,87.75250116663342,1,0
8,11,195,0.014673582,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1,3.4688560301359703,1.4777053078769906,1,87.60792937856709,1,0
